 1.50000000e-06  1.38278161e-08 
 1.48000000e-06  1.49954719e-08 
 1.46000000e-06  1.62094304e-08 
 1.44000000e-06  1.74715062e-08 
 1.42000000e-06  1.87835841e-08 
 1.40000000e-06  2.01476222e-08 
 1.38000000e-06  2.15656541e-08 
 1.36000000e-06  2.30397923e-08 
 1.34000000e-06  2.45722312e-08 
 1.32000000e-06  2.61652503e-08 
 1.30000000e-06  2.78212172e-08 
 1.28000000e-06  2.95425915e-08 
 1.26000000e-06  3.13319280e-08 
 1.24000000e-06  3.31918809e-08 
 1.22000000e-06  3.51252070e-08 
 1.20000000e-06  3.71347706e-08 
 1.18000000e-06  3.92235470e-08 
 1.16000000e-06  4.13946271e-08 
 1.14000000e-06  4.36512222e-08 
 1.12000000e-06  4.59966683e-08 
 1.10000000e-06  4.84344316e-08 
 1.08000000e-06  5.09681132e-08 
 1.06000000e-06  5.36014545e-08 
 1.04000000e-06  5.63383431e-08 
 1.02000000e-06  5.91828183e-08 
 1.00000000e-06  6.21390773e-08 
 9.80000000e-07  6.52114814e-08 
 9.60000000e-07  6.84045626e-08 
 9.40000000e-07  7.17230304e-08 
 9.20000000e-07  7.51717790e-08 
 9.00000000e-07  7.87558946e-08 
 8.80000000e-07  8.24806632e-08 
 8.60000000e-07  8.63515784e-08 
 8.40000000e-07  9.03743499e-08 
 8.20000000e-07  9.45549124e-08 
 8.00000000e-07  9.88994341e-08 
 7.80000000e-07  1.03414327e-07 
 7.60000000e-07  1.08106254e-07 
 7.40000000e-07  1.12982145e-07 
 7.20000000e-07  1.18049200e-07 
 7.00000000e-07  1.23314906e-07 
 6.80000000e-07  1.28787046e-07 
 6.60000000e-07  1.34473709e-07 
 6.40000000e-07  1.40383308e-07 
 6.20000000e-07  1.46524588e-07 
 6.00000000e-07  1.52906641e-07 
 5.80000000e-07  1.59538918e-07 
 5.60000000e-07  1.66431251e-07 
 5.40000000e-07  1.73593856e-07 
 5.20000000e-07  1.81037360e-07 
 5.00000000e-07  1.88772811e-07 
 4.80000000e-07  1.96811696e-07 
 4.60000000e-07  2.05165963e-07 
 4.40000000e-07  2.13848030e-07 
 4.20000000e-07  2.22870816e-07 
 4.00000000e-07  2.32247750e-07 
 3.80000000e-07  2.41992800e-07 
 3.60000000e-07  2.52120489e-07 
 3.40000000e-07  2.62645919e-07 
 3.20000000e-07  2.73584796e-07 
 3.00000000e-07  2.84953452e-07 
 2.80000000e-07  2.96768871e-07 
 2.60000000e-07  3.09048715e-07 
 2.40000000e-07  3.21811351e-07 
 2.20000000e-07  3.35075878e-07 
 2.00000000e-07  3.48862158e-07 
 1.80000000e-07  3.63190848e-07 
 1.60000000e-07  3.78083425e-07 
 1.40000000e-07  3.93562228e-07 
 1.20000000e-07  4.09650484e-07 
 1.00000000e-07  4.26372348e-07 
 8.00000000e-08  4.43752939e-07 
 6.00000000e-08  4.61818379e-07 
 4.00000000e-08  4.80595828e-07 
 2.00000000e-08  5.00113533e-07 
-1.18452264e-21  5.20400864e-07 
-2.00000000e-08  5.41488363e-07 
-4.00000000e-08  5.63407788e-07 
-6.00000000e-08  5.86192161e-07 
-8.00000000e-08  6.09875819e-07 
-1.00000000e-07  6.34494465e-07 
-1.20000000e-07  6.60085221e-07 
-1.40000000e-07  6.86686686e-07 
-1.60000000e-07  7.14338991e-07 
-1.80000000e-07  7.43083860e-07 
-2.00000000e-07  7.72964675e-07 
-2.20000000e-07  8.04026536e-07 
-2.40000000e-07  8.36316332e-07 
-2.60000000e-07  8.69882807e-07 
-2.80000000e-07  9.04776635e-07 
-3.00000000e-07  9.41050495e-07 
-3.20000000e-07  9.78759144e-07 
-3.40000000e-07  1.01795951e-06 
-3.60000000e-07  1.05871074e-06 
-3.80000000e-07  1.10107436e-06 
-4.00000000e-07  1.14511426e-06 
-4.20000000e-07  1.19089689e-06 
-4.40000000e-07  1.23849128e-06 
-4.60000000e-07  1.28796919e-06 
-4.80000000e-07  1.33940518e-06 
-5.00000000e-07  1.39287673e-06 
-5.20000000e-07  1.44846435e-06 
-5.40000000e-07  1.50625169e-06 
-5.60000000e-07  1.56632567e-06 
-5.80000000e-07  1.62877658e-06 
-6.00000000e-07  1.69369824e-06 
-6.20000000e-07  1.76118809e-06 
-6.40000000e-07  1.83134736e-06 
-6.60000000e-07  1.90428118e-06 
-6.80000000e-07  1.98009875e-06 
-7.00000000e-07  2.05891348e-06 
-7.20000000e-07  2.14084313e-06 
-7.40000000e-07  2.22600998e-06 
-7.60000000e-07  2.31454101e-06 
-7.80000000e-07  2.40656803e-06 
-8.00000000e-07  2.50222788e-06 
-8.20000000e-07  2.60166261e-06 
-8.40000000e-07  2.70501965e-06 
-8.60000000e-07  2.81245201e-06 
-8.80000000e-07  2.92411849e-06 
-9.00000000e-07  3.04018382e-06 
-9.20000000e-07  3.16081894e-06 
-9.40000000e-07  3.28620119e-06 
-9.60000000e-07  3.41651448e-06 
-9.80000000e-07  3.55194957e-06 
-1.00000000e-06  3.69270430e-06 
-1.02000000e-06  3.83898376e-06 
-1.04000000e-06  3.99100060e-06 
-1.06000000e-06  4.14897525e-06 
-1.08000000e-06  4.31313616e-06 
-1.10000000e-06  4.48372005e-06 
-1.12000000e-06  4.66097221e-06 
-1.14000000e-06  4.84514673e-06 
-1.16000000e-06  5.03650678e-06 
-1.18000000e-06  5.23532490e-06 
-1.20000000e-06  5.44188326e-06 
-1.22000000e-06  5.65647395e-06 
-1.24000000e-06  5.87939927e-06 
-1.26000000e-06  6.11097205e-06 
-1.28000000e-06  6.35151588e-06 
-1.30000000e-06  6.60136546e-06 
-1.32000000e-06  6.86086690e-06 
-1.34000000e-06  7.13037799e-06 
-1.36000000e-06  7.41026853e-06 
-1.38000000e-06  7.70092060e-06 
-1.40000000e-06  8.00272889e-06 
-1.42000000e-06  8.31610102e-06 
-1.44000000e-06  8.64145777e-06 
-1.46000000e-06  8.97923344e-06 
-1.48000000e-06  9.32987610e-06 
-1.50000000e-06  9.69384792e-06 
-1.52000000e-06  1.00716254e-05 
-1.54000000e-06  1.04636996e-05 
-1.56000000e-06  1.08705766e-05 
-1.58000000e-06  1.12927776e-05 
-1.60000000e-06  1.17308390e-05 
-1.62000000e-06  1.21853129e-05 
-1.64000000e-06  1.26567673e-05 
-1.66000000e-06  1.31457861e-05 
-1.68000000e-06  1.36529693e-05 
-1.70000000e-06  1.41789334e-05 
