-8.60000000e+00 -5.56972998e-01 -8.60000000e+00  2.78486499e-06 
-8.58000000e+00 -5.58210901e-01 -8.58000000e+00  2.79105451e-06 
-8.56000000e+00 -5.59448805e-01 -8.56000000e+00  2.79724403e-06 
-8.54000000e+00 -5.60686710e-01 -8.54000000e+00  2.80343355e-06 
-8.52000000e+00 -5.61924615e-01 -8.52000000e+00  2.80962307e-06 
-8.50000000e+00 -5.63162520e-01 -8.50000000e+00  2.81581260e-06 
-8.48000000e+00 -5.64400427e-01 -8.48000000e+00  2.82200213e-06 
-8.46000000e+00 -5.65638333e-01 -8.46000000e+00  2.82819167e-06 
-8.44000000e+00 -5.66876241e-01 -8.44000000e+00  2.83438120e-06 
-8.42000000e+00 -5.68114148e-01 -8.42000000e+00  2.84057074e-06 
-8.40000000e+00 -5.69352057e-01 -8.40000000e+00  2.84676029e-06 
-8.38000000e+00 -5.70589966e-01 -8.38000000e+00  2.85294983e-06 
-8.36000000e+00 -5.71827876e-01 -8.36000000e+00  2.85913938e-06 
-8.34000000e+00 -5.73065787e-01 -8.34000000e+00  2.86532894e-06 
-8.32000000e+00 -5.74303699e-01 -8.32000000e+00  2.87151849e-06 
-8.30000000e+00 -5.75541611e-01 -8.30000000e+00  2.87770805e-06 
-8.28000000e+00 -5.76779524e-01 -8.28000000e+00  2.88389762e-06 
-8.26000000e+00 -5.78017438e-01 -8.26000000e+00  2.89008719e-06 
-8.24000000e+00 -5.79255353e-01 -8.24000000e+00  2.89627677e-06 
-8.22000000e+00 -5.80493269e-01 -8.22000000e+00  2.90246635e-06 
-8.20000000e+00 -5.81731186e-01 -8.20000000e+00  2.90865593e-06 
-8.18000000e+00 -5.82969104e-01 -8.18000000e+00  2.91484552e-06 
-8.16000000e+00 -5.84207024e-01 -8.16000000e+00  2.92103512e-06 
-8.14000000e+00 -5.85444944e-01 -8.14000000e+00  2.92722472e-06 
-8.12000000e+00 -5.86682866e-01 -8.12000000e+00  2.93341433e-06 
-8.10000000e+00 -5.87920789e-01 -8.10000000e+00  2.93960394e-06 
-8.08000000e+00 -5.89158713e-01 -8.08000000e+00  2.94579356e-06 
-8.06000000e+00 -5.90396639e-01 -8.06000000e+00  2.95198319e-06 
-8.04000000e+00 -5.91634566e-01 -8.04000000e+00  2.95817283e-06 
-8.02000000e+00 -5.92872495e-01 -8.02000000e+00  2.96436247e-06 
-8.00000000e+00 -5.94110425e-01 -8.00000000e+00  2.97055213e-06 
-7.98000000e+00 -5.95348357e-01 -7.98000000e+00  2.97674179e-06 
-7.96000000e+00 -5.96586291e-01 -7.96000000e+00  2.98293145e-06 
-7.94000000e+00 -5.97824227e-01 -7.94000000e+00  2.98912113e-06 
-7.92000000e+00 -5.99062164e-01 -7.92000000e+00  2.99531082e-06 
-7.90000000e+00 -6.00300104e-01 -7.90000000e+00  3.00150052e-06 
-7.88000000e+00 -6.01538046e-01 -7.88000000e+00  3.00769023e-06 
-7.86000000e+00 -6.02775990e-01 -7.86000000e+00  3.01387995e-06 
-7.84000000e+00 -6.04013936e-01 -7.84000000e+00  3.02006968e-06 
-7.82000000e+00 -6.05251885e-01 -7.82000000e+00  3.02625943e-06 
-7.80000000e+00 -6.06489837e-01 -7.80000000e+00  3.03244918e-06 
-7.78000000e+00 -6.07727791e-01 -7.78000000e+00  3.03863895e-06 
-7.76000000e+00 -6.08965748e-01 -7.76000000e+00  3.04482874e-06 
-7.74000000e+00 -6.10203708e-01 -7.74000000e+00  3.05101854e-06 
-7.72000000e+00 -6.11441671e-01 -7.72000000e+00  3.05720835e-06 
-7.70000000e+00 -6.12679637e-01 -7.70000000e+00  3.06339818e-06 
-7.68000000e+00 -6.13917606e-01 -7.68000000e+00  3.06958803e-06 
-7.66000000e+00 -6.15155579e-01 -7.66000000e+00  3.07577790e-06 
-7.64000000e+00 -6.16393556e-01 -7.64000000e+00  3.08196778e-06 
-7.62000000e+00 -6.17631537e-01 -7.62000000e+00  3.08815768e-06 
-7.60000000e+00 -6.18869521e-01 -7.60000000e+00  3.09434761e-06 
-7.58000000e+00 -6.20107510e-01 -7.58000000e+00  3.10053755e-06 
-7.56000000e+00 -6.21345503e-01 -7.56000000e+00  3.10672752e-06 
-7.54000000e+00 -6.22583501e-01 -7.54000000e+00  3.11291751e-06 
-7.52000000e+00 -6.23821504e-01 -7.52000000e+00  3.11910752e-06 
-7.50000000e+00 -6.25059512e-01 -7.50000000e+00  3.12529756e-06 
-7.48000000e+00 -6.26297525e-01 -7.48000000e+00  3.13148763e-06 
-7.46000000e+00 -6.27535544e-01 -7.46000000e+00  3.13767772e-06 
-7.44000000e+00 -6.28773569e-01 -7.44000000e+00  3.14386784e-06 
-7.42000000e+00 -6.30039274e-01 -7.42000000e+00  3.15019637e-06 
-7.40000000e+00 -6.31277312e-01 -7.40000000e+00  3.15638656e-06 
-7.38000000e+00 -6.32515356e-01 -7.38000000e+00  3.16257678e-06 
-7.36000000e+00 -6.33753407e-01 -7.36000000e+00  3.16876703e-06 
-7.34000000e+00 -6.34991465e-01 -7.34000000e+00  3.17495732e-06 
-7.32000000e+00 -6.36229531e-01 -7.32000000e+00  3.18114765e-06 
-7.30000000e+00 -6.37467605e-01 -7.30000000e+00  3.18733802e-06 
-7.28000000e+00 -6.38705687e-01 -7.28000000e+00  3.19352844e-06 
-7.26000000e+00 -6.39943779e-01 -7.26000000e+00  3.19971889e-06 
-7.24000000e+00 -6.41181879e-01 -7.24000000e+00  3.20590940e-06 
-7.22000000e+00 -6.42419989e-01 -7.22000000e+00  3.21209995e-06 
-7.20000000e+00 -6.43658110e-01 -7.20000000e+00  3.21829055e-06 
-7.18000000e+00 -6.44896241e-01 -7.18000000e+00  3.22448120e-06 
-7.16000000e+00 -6.46134383e-01 -7.16000000e+00  3.23067191e-06 
-7.14000000e+00 -6.47372536e-01 -7.14000000e+00  3.23686268e-06 
-7.12000000e+00 -6.48610702e-01 -7.12000000e+00  3.24305351e-06 
-7.10000000e+00 -6.49848880e-01 -7.10000000e+00  3.24924440e-06 
-7.08000000e+00 -6.51087072e-01 -7.08000000e+00  3.25543536e-06 
-7.06000000e+00 -6.52325278e-01 -7.06000000e+00  3.26162639e-06 
-7.04000000e+00 -6.53563498e-01 -7.04000000e+00  3.26781749e-06 
-7.02000000e+00 -6.54801734e-01 -7.02000000e+00  3.27400867e-06 
-7.00000000e+00 -6.56039985e-01 -7.00000000e+00  3.28019993e-06 
-6.98000000e+00 -6.57278254e-01 -6.98000000e+00  3.28639127e-06 
-6.96000000e+00 -6.58516539e-01 -6.96000000e+00  3.29258270e-06 
