 6.00000000e-01  6.02584347e-01  6.00000000e-01  2.00279529e+00 
 6.50000000e-01  6.52123668e-01  6.50000000e-01  2.04332630e+00 
 7.00000000e-01  7.01702478e-01  7.00000000e-01  2.08375186e+00 
 7.50000000e-01  7.51286588e-01  7.50000000e-01  2.12414657e+00 
 8.00000000e-01  8.00884145e-01  8.00000000e-01  2.16448231e+00 
 8.50000000e-01  8.50493635e-01  8.50000000e-01  2.20475659e+00 
 9.00000000e-01  9.00113795e-01  9.00000000e-01  2.24496715e+00 
 9.50000000e-01  9.49743627e-01  9.50000000e-01  2.28511174e+00 
 1.00000000e+00  9.99382324e-01  1.00000000e+00  2.32518811e+00 
 1.05000000e+00  1.04902922e+00  1.05000000e+00  2.36519397e+00 
 1.10000000e+00  1.09868375e+00  1.10000000e+00  2.40512702e+00 
 1.15000000e+00  1.14834545e+00  1.15000000e+00  2.44498486e+00 
 1.20000000e+00  1.19801390e+00  1.20000000e+00  2.48476502e+00 
 1.25000000e+00  1.24768874e+00  1.25000000e+00  2.52446495e+00 
 1.30000000e+00  1.29736967e+00  1.30000000e+00  2.56408196e+00 
 1.35000000e+00  1.34705639e+00  1.35000000e+00  2.60361324e+00 
 1.40000000e+00  1.39674865e+00  1.40000000e+00  2.64305580e+00 
 1.45000000e+00  1.44644622e+00  1.45000000e+00  2.68240645e+00 
 1.50000000e+00  1.49614888e+00  1.50000000e+00  2.72166172e+00 
 1.55000000e+00  1.54585642e+00  1.55000000e+00  2.76081777e+00 
 1.60000000e+00  1.59556865e+00  1.60000000e+00  2.79987016e+00 
 1.65000000e+00  1.64528536e+00  1.65000000e+00  2.83881357e+00 
 1.70000000e+00  1.69500633e+00  1.70000000e+00  2.87764095e+00 
 1.75000000e+00  1.74473128e+00  1.75000000e+00  2.91634193e+00 
 1.80000000e+00  1.79445982e+00  1.80000000e+00  2.95489855e+00 
 1.85000000e+00  1.84419122e+00  1.85000000e+00  2.99327396e+00 
 1.90000000e+00  1.89392380e+00  1.90000000e+00  3.03137971e+00 
 1.95000000e+00  1.94365332e+00  1.95000000e+00  3.06898887e+00 
 2.00000000e+00  1.99337001e+00  2.00000000e+00  3.10560155e+00 
