 6.00000000e-01  5.99368274e-01 
 6.50000000e-01  6.49373514e-01 
 7.00000000e-01  6.99378653e-01 
 7.50000000e-01  7.49383749e-01 
 8.00000000e-01  7.99388776e-01 
 8.50000000e-01  8.49393733e-01 
 9.00000000e-01  8.99398621e-01 
 9.50000000e-01  9.49403441e-01 
 1.00000000e+00  9.99408196e-01 
 1.05000000e+00  1.04941289e+00 
 1.10000000e+00  1.09941753e+00 
 1.15000000e+00  1.14942211e+00 
 1.20000000e+00  1.19942665e+00 
 1.25000000e+00  1.24943115e+00 
 1.30000000e+00  1.29943560e+00 
 1.35000000e+00  1.34944003e+00 
 1.40000000e+00  1.39944443e+00 
 1.45000000e+00  1.44944882e+00 
 1.50000000e+00  1.49945321e+00 
 1.55000000e+00  1.54945761e+00 
 1.60000000e+00  1.59946204e+00 
 1.65000000e+00  1.64946654e+00 
 1.70000000e+00  1.69947116e+00 
 1.75000000e+00  1.74947600e+00 
 1.80000000e+00  1.79948127e+00 
 1.85000000e+00  1.84948742e+00 
 1.90000000e+00  1.89949564e+00 
 1.95000000e+00  1.94950888e+00 
 2.00000000e+00  1.99953290e+00 
