 5.00000000e-02  5.03888801e-07  5.00000000e-02  7.80587104e-01 
 7.50000000e-02  5.03885516e-07  7.50000000e-02  7.80587104e-01 
 1.00000000e-01  5.03882198e-07  1.00000000e-01  7.80587104e-01 
 1.25000000e-01  5.03878868e-07  1.25000000e-01  7.80587104e-01 
 1.50000000e-01  5.03875519e-07  1.50000000e-01  7.80587104e-01 
 1.75000000e-01  5.03872151e-07  1.75000000e-01  7.80587104e-01 
 2.00000000e-01  5.03868761e-07  2.00000000e-01  7.80587104e-01 
 2.25000000e-01  5.03865350e-07  2.25000000e-01  7.80587104e-01 
 2.50000000e-01  5.03861918e-07  2.50000000e-01  7.80587104e-01 
 2.75000000e-01  5.03858463e-07  2.75000000e-01  7.80587104e-01 
 3.00000000e-01  5.03854985e-07  3.00000000e-01  7.80587104e-01 
 3.25000000e-01  5.03851483e-07  3.25000000e-01  7.80587104e-01 
 3.50000000e-01  5.03847957e-07  3.50000000e-01  7.80587104e-01 
 3.75000000e-01  5.03844406e-07  3.75000000e-01  7.80587104e-01 
 4.00000000e-01  5.03840829e-07  4.00000000e-01  7.80587104e-01 
 4.25000000e-01  5.03837226e-07  4.25000000e-01  7.80587104e-01 
 4.50000000e-01  5.03833594e-07  4.50000000e-01  7.80587104e-01 
 4.75000000e-01  5.03829934e-07  4.75000000e-01  7.80587104e-01 
 5.00000000e-01  5.03826244e-07  5.00000000e-01  7.80587104e-01 
 5.25000000e-01  5.03822523e-07  5.25000000e-01  7.80587104e-01 
 5.50000000e-01  5.03818768e-07  5.50000000e-01  7.80587104e-01 
 5.75000000e-01  5.03814978e-07  5.75000000e-01  7.80587104e-01 
 6.00000000e-01  5.03811150e-07  6.00000000e-01  7.80587104e-01 
 6.25000000e-01  5.03807280e-07  6.25000000e-01  7.80587104e-01 
 6.50000000e-01  5.03803363e-07  6.50000000e-01  7.80587104e-01 
 6.75000000e-01  5.03799387e-07  6.75000000e-01  7.80587104e-01 
 7.00000000e-01  5.03795339e-07  7.00000000e-01  7.80587104e-01 
 7.25000000e-01  5.03791189e-07  7.25000000e-01  7.80587104e-01 
 7.50000000e-01  5.03786879e-07  7.50000000e-01  7.80587104e-01 
 7.75000000e-01  5.03782293e-07  7.75000000e-01  7.80587104e-01 
 8.00000000e-01  5.03777156e-07  8.00000000e-01  7.80587104e-01 
 8.25000000e-01  5.03770684e-07  8.25000000e-01  7.80587104e-01 
 8.50000000e-01  5.03756520e-07  8.50000000e-01  7.80587104e-01 
 8.75000000e-01  5.03684964e-07  8.75000000e-01  7.80587104e-01 
 9.00000000e-01  5.03434126e-07  9.00000000e-01  7.80587104e-01 
 9.25000000e-01  4.68433976e-07  9.25000000e-01  7.80587104e-01 
 9.50000000e-01  3.02690004e-07  9.50000000e-01  7.80587104e-01 
 9.75000000e-01  1.70115015e-07  9.75000000e-01  7.80587104e-01 
 1.00000000e+00  9.47907231e-08  1.00000000e+00  7.80587104e-01 
 1.02500000e+00  5.25321588e-08  1.02500000e+00  7.80587104e-01 
 1.05000000e+00  2.90329368e-08  1.05000000e+00  7.80587104e-01 
 1.07500000e+00  1.60134315e-08  1.07500000e+00  7.80587104e-01 
 1.10000000e+00  8.81724156e-09  1.10000000e+00  7.80587104e-01 
 1.12500000e+00  4.84766190e-09  1.12500000e+00  7.80587104e-01 
 1.15000000e+00  2.66151848e-09  1.15000000e+00  7.80587104e-01 
 1.17500000e+00  1.45925002e-09  1.17500000e+00  7.80587104e-01 
 1.20000000e+00  7.98903657e-10  1.20000000e+00  7.80587104e-01 
 1.22500000e+00  4.36636366e-10  1.22500000e+00  7.80587104e-01 
 1.25000000e+00  2.38116684e-10  1.25000000e+00  7.80587104e-01 
 1.27500000e+00  1.29443396e-10  1.27500000e+00  7.80587104e-01 
 1.30000000e+00  7.00116671e-11  1.30000000e+00  7.80587104e-01 
 1.32500000e+00  3.75378238e-11  1.32500000e+00  7.80587104e-01 
 1.35000000e+00  1.98066704e-11  1.35000000e+00  7.80587104e-01 
 1.37500000e+00  1.01296055e-11  1.37500000e+00  7.80587104e-01 
 1.40000000e+00  4.84811242e-12  1.40000000e+00  7.80587104e-01 
 1.42500000e+00  1.96315145e-12  1.42500000e+00  7.80587104e-01 
 1.45000000e+00  3.83546476e-13  1.45000000e+00  7.80587104e-01 
 1.47500000e+00 -4.85727350e-13  1.47500000e+00  7.80587104e-01 
 1.50000000e+00 -9.68823802e-13  1.50000000e+00  7.80587104e-01 
 1.52500000e+00 -1.24216428e-12  1.52500000e+00  7.80587104e-01 
 1.55000000e+00 -1.40167638e-12  1.55000000e+00  7.80587104e-01 
 1.57500000e+00 -1.49947188e-12  1.57500000e+00  7.80587104e-01 
 1.60000000e+00 -1.56383437e-12  1.60000000e+00  7.80587104e-01 
 1.62500000e+00 -1.61010112e-12  1.62500000e+00  7.80587104e-01 
 1.65000000e+00 -1.64658172e-12  1.65000000e+00  7.80587104e-01 
 1.67500000e+00 -1.67777440e-12  1.67500000e+00  7.80587104e-01 
 1.70000000e+00 -1.70611210e-12  1.70000000e+00  7.80587104e-01 
 1.72500000e+00 -1.73290963e-12  1.72500000e+00  7.80587104e-01 
 1.75000000e+00 -1.75887694e-12  1.75000000e+00  7.80587104e-01 
 1.77500000e+00 -1.78439709e-12  1.77500000e+00  7.80587104e-01 
 1.80000000e+00 -1.80967657e-12  1.80000000e+00  7.80587104e-01 
 1.82500000e+00 -1.83482662e-12  1.82500000e+00  7.80587104e-01 
 1.85000000e+00 -1.85990713e-12  1.85000000e+00  7.80587104e-01 
 1.87500000e+00 -1.88495029e-12  1.87500000e+00  7.80587104e-01 
 1.90000000e+00 -1.90997341e-12  1.90000000e+00  7.80587104e-01 
