-1.50000000e-06 -2.48431905e-08 
-1.47500000e-06 -2.61171264e-08 
-1.45000000e-06 -2.74563989e-08 
-1.42500000e-06 -2.88643587e-08 
-1.40000000e-06 -3.03445279e-08 
-1.37500000e-06 -3.19006093e-08 
-1.35000000e-06 -3.35364953e-08 
-1.32500000e-06 -3.52562779e-08 
-1.30000000e-06 -3.70642590e-08 
-1.27500000e-06 -3.89649607e-08 
-1.25000000e-06 -4.09631370e-08 
-1.22500000e-06 -4.30637855e-08 
-1.20000000e-06 -4.52721599e-08 
-1.17500000e-06 -4.75937833e-08 
-1.15000000e-06 -5.00344614e-08 
-1.12500000e-06 -5.26002978e-08 
-1.10000000e-06 -5.52977085e-08 
-1.07500000e-06 -5.81334384e-08 
-1.05000000e-06 -6.11145779e-08 
-1.02500000e-06 -6.42485804e-08 
-1.00000000e-06 -6.75432813e-08 
-9.75000000e-07 -7.10069173e-08 
-9.50000000e-07 -7.46481468e-08 
-9.25000000e-07 -7.84760716e-08 
-9.00000000e-07 -8.25002596e-08 
-8.75000000e-07 -8.67307687e-08 
-8.50000000e-07 -9.11781715e-08 
-8.25000000e-07 -9.58535819e-08 
-8.00000000e-07 -1.00768683e-07 
-7.75000000e-07 -1.05935755e-07 
-7.50000000e-07 -1.11367707e-07 
-7.25000000e-07 -1.17078108e-07 
-7.00000000e-07 -1.23081224e-07 
-6.75000000e-07 -1.29392046e-07 
-6.50000000e-07 -1.36026336e-07 
-6.25000000e-07 -1.43000660e-07 
-6.00000000e-07 -1.50332431e-07 
-5.75000000e-07 -1.58039952e-07 
-5.50000000e-07 -1.66142463e-07 
-5.25000000e-07 -1.74660187e-07 
-5.00000000e-07 -1.83614377e-07 
-4.75000000e-07 -1.93027377e-07 
-4.50000000e-07 -2.02922667e-07 
-4.25000000e-07 -2.13324931e-07 
-4.00000000e-07 -2.24260108e-07 
-3.75000000e-07 -2.35755464e-07 
-3.50000000e-07 -2.47839656e-07 
-3.25000000e-07 -2.60542801e-07 
-3.00000000e-07 -2.73896555e-07 
-2.75000000e-07 -2.87934185e-07 
-2.50000000e-07 -3.02690653e-07 
-2.25000000e-07 -3.18202705e-07 
-2.00000000e-07 -3.34508957e-07 
-1.75000000e-07 -3.51649990e-07 
-1.50000000e-07 -3.69668451e-07 
-1.25000000e-07 -3.88609157e-07 
-1.00000000e-07 -4.08519203e-07 
-7.50000000e-08 -4.29448079e-07 
-5.00000000e-08 -4.51447786e-07 
-2.50000000e-08 -4.74572968e-07 
-8.93355062e-22 -4.98881043e-07 
 2.50000000e-08 -5.24432339e-07 
 5.00000000e-08 -5.51290242e-07 
 7.50000000e-08 -5.79521352e-07 
 1.00000000e-07 -6.09195639e-07 
 1.25000000e-07 -6.40386612e-07 
 1.50000000e-07 -6.73171498e-07 
 1.75000000e-07 -7.07631427e-07 
 2.00000000e-07 -7.43851621e-07 
 2.25000000e-07 -7.81921604e-07 
 2.50000000e-07 -8.21935411e-07 
 2.75000000e-07 -8.63991810e-07 
 3.00000000e-07 -9.08194539e-07 
 3.25000000e-07 -9.54652549e-07 
 3.50000000e-07 -1.00348026e-06 
 3.75000000e-07 -1.05479783e-06 
 4.00000000e-07 -1.10873143e-06 
 4.25000000e-07 -1.16541356e-06 
 4.50000000e-07 -1.22498331e-06 
 4.75000000e-07 -1.28758673e-06 
 5.00000000e-07 -1.35337715e-06 
 5.25000000e-07 -1.42251552e-06 
 5.50000000e-07 -1.49517078e-06 
 5.75000000e-07 -1.57152024e-06 
 6.00000000e-07 -1.65175001e-06 
 6.25000000e-07 -1.73605537e-06 
 6.50000000e-07 -1.82464125e-06 
 6.75000000e-07 -1.91772264e-06 
 7.00000000e-07 -2.01552512e-06 
 7.25000000e-07 -2.11828528e-06 
 7.50000000e-07 -2.22625132e-06 
 7.75000000e-07 -2.33968349e-06 
 8.00000000e-07 -2.45885474e-06 
 8.25000000e-07 -2.58405123e-06 
 8.50000000e-07 -2.71557296e-06 
 8.75000000e-07 -2.85373439e-06 
 9.00000000e-07 -2.99886508e-06 
 9.25000000e-07 -3.15131040e-06 
 9.50000000e-07 -3.31143215e-06 
 9.75000000e-07 -3.47960937e-06 
 1.00000000e-06 -3.65623901e-06 
 1.02500000e-06 -3.84173676e-06 
 1.05000000e-06 -4.03653779e-06 
 1.07500000e-06 -4.24109763e-06 
 1.10000000e-06 -4.45589295e-06 
 1.12500000e-06 -4.68142250e-06 
 1.15000000e-06 -4.91820795e-06 
 1.17500000e-06 -5.16679483e-06 
 1.20000000e-06 -5.42775345e-06 
 1.22500000e-06 -5.70167992e-06 
 1.25000000e-06 -5.98919703e-06 
 1.27500000e-06 -6.29095537e-06 
 1.30000000e-06 -6.60763426e-06 
 1.32500000e-06 -6.93994282e-06 
 1.35000000e-06 -7.28862100e-06 
 1.37500000e-06 -7.65444067e-06 
 1.40000000e-06 -8.03820665e-06 
 1.42500000e-06 -8.44075782e-06 
 1.45000000e-06 -8.86296813e-06 
 1.47500000e-06 -9.30574773e-06 
 1.50000000e-06 -9.77004399e-06 
 1.52500000e-06 -1.02568426e-05 
 1.55000000e-06 -1.07671685e-05 
 1.57500000e-06 -1.13020869e-05 
 1.60000000e-06 -1.18627045e-05 
 1.62500000e-06 -1.24501700e-05 
 1.65000000e-06 -1.30656753e-05 
 1.67500000e-06 -1.37104562e-05 
 1.70000000e-06 -1.43857935e-05 
