 7.25000000e-08 -5.97055586e-07  7.25000000e-08 -9.66681169e-07  7.25000000e-08 -8.99224158e-08 
 9.25000000e-08 -5.82243746e-07  9.25000000e-08 -8.44671900e-07  9.25000000e-08 -7.73494550e-08 
 1.12500000e-07 -5.70846288e-07  1.12500000e-07 -7.46510049e-07  1.12500000e-07 -6.74567607e-08 
 1.32500000e-07 -5.61734218e-07  1.32500000e-07 -6.65028111e-07  1.32500000e-07 -5.93978746e-08 
 1.52500000e-07 -5.54119696e-07  1.52500000e-07 -5.94912011e-07  1.52500000e-07 -5.25640694e-08 
 1.72500000e-07 -5.47601980e-07  1.72500000e-07 -5.33367715e-07  1.72500000e-07 -4.66406593e-08 
 1.92500000e-07 -5.41924423e-07  1.92500000e-07 -4.78557112e-07  1.92500000e-07 -4.14234097e-08 
 2.12500000e-07 -5.36906884e-07  2.12500000e-07 -4.29156827e-07  2.12500000e-07 -3.67671473e-08 
 2.32500000e-07 -5.32420079e-07  2.32500000e-07 -3.84195525e-07  2.32500000e-07 -3.25665184e-08 
 2.52500000e-07 -5.28368556e-07  2.52500000e-07 -3.42941497e-07  2.52500000e-07 -2.87429597e-08 
 2.72500000e-07 -5.24679958e-07  2.72500000e-07 -3.04829916e-07  2.72500000e-07 -2.52363791e-08 
 2.92500000e-07 -5.21298215e-07  2.92500000e-07 -2.69415763e-07  2.92500000e-07 -2.19998254e-08 
 3.12500000e-07 -5.18179050e-07  3.12500000e-07 -2.36342239e-07  3.12500000e-07 -1.89959429e-08 
 3.32500000e-07 -5.15286927e-07  3.32500000e-07 -2.05318918e-07  3.32500000e-07 -1.61945398e-08 
 3.52500000e-07 -5.12592917e-07  3.52500000e-07 -1.76106253e-07  3.52500000e-07 -1.35708775e-08 
 3.72500000e-07 -5.10073171e-07  3.72500000e-07 -1.48504358e-07  3.72500000e-07 -1.11044398e-08 
 3.92500000e-07 -5.07707813e-07  3.92500000e-07 -1.22344713e-07  3.92500000e-07 -8.77802915e-09 
 4.12500000e-07 -5.05480112e-07  4.12500000e-07 -9.74839248e-08  4.12500000e-07 -6.57709189e-09 
 4.32500000e-07 -5.03375858e-07  4.32500000e-07 -7.37989753e-08  4.32500000e-07 -4.48920558e-09 
 4.52500000e-07 -5.01382887e-07  4.52500000e-07 -5.11835317e-08  4.52500000e-07 -2.50368482e-09 
 4.72500000e-07 -4.99490708e-07  4.72500000e-07 -2.95450618e-08  4.72500000e-07 -6.11273610e-10 
 4.92500000e-07 -4.97690217e-07  4.92500000e-07 -8.80254434e-09  4.92500000e-07  1.19609720e-09 
 5.12500000e-07 -4.95973462e-07  5.12500000e-07  1.11153640e-08  5.12500000e-07  2.92550336e-09 
 5.32500000e-07 -4.94333459e-07  5.32500000e-07  3.02718108e-08  5.32500000e-07  4.58318288e-09 
 5.52500000e-07 -4.92764045e-07  5.52500000e-07  4.87229576e-08  5.52500000e-07  6.17466251e-09 
 5.72500000e-07 -4.91259755e-07  5.72500000e-07  6.65189727e-08  5.72500000e-07  7.70486128e-09 
 5.92500000e-07 -4.89815719e-07  5.92500000e-07  8.37048558e-08  5.92500000e-07  9.17817591e-09 
 6.12500000e-07 -4.88427583e-07  6.12500000e-07  1.00321124e-07  6.12500000e-07  1.05985518e-08 
 6.32500000e-07 -4.87091437e-07  6.32500000e-07  1.16404386e-07  6.32500000e-07  1.19695423e-08 
 6.52500000e-07 -4.85803759e-07  6.52500000e-07  1.31987835e-07  6.52500000e-07  1.32943590e-08 
 6.72500000e-07 -4.84561366e-07  6.72500000e-07  1.47101652e-07  6.72500000e-07  1.45759135e-08 
 6.92500000e-07 -4.83361370e-07  6.92500000e-07  1.61773369e-07  6.92500000e-07  1.58168537e-08 
 7.12500000e-07 -4.82201144e-07  7.12500000e-07  1.76028162e-07  7.12500000e-07  1.70195945e-08 
 7.32500000e-07 -4.81078296e-07  7.32500000e-07  1.89889119e-07  7.32500000e-07  1.81863440e-08 
 7.52500000e-07 -4.79990634e-07  7.52500000e-07  2.03377459e-07  7.52500000e-07  1.93191267e-08 
 7.72500000e-07 -4.78936152e-07  7.72500000e-07  2.16512734e-07  7.72500000e-07  2.04198028e-08 
 7.92500000e-07 -4.77913007e-07  7.92500000e-07  2.29312992e-07  7.92500000e-07  2.14900854e-08 
 8.12500000e-07 -4.76919500e-07  8.12500000e-07  2.41794937e-07  8.12500000e-07  2.25315560e-08 
 8.32500000e-07 -4.75954066e-07  8.32500000e-07  2.53974050e-07  8.32500000e-07  2.35456771e-08 
 8.52500000e-07 -4.75015255e-07  8.52500000e-07  2.65864711e-07  8.52500000e-07  2.45338037e-08 
 8.72500000e-07 -4.74101726e-07  8.72500000e-07  2.77480299e-07  8.72500000e-07  2.54971941e-08 
 8.92500000e-07 -4.73212234e-07  8.92500000e-07  2.88833284e-07  8.92500000e-07  2.64370181e-08 
 9.12500000e-07 -4.72345623e-07  9.12500000e-07  2.99935306e-07  9.12500000e-07  2.73543657e-08 
 9.32500000e-07 -4.71500814e-07  9.32500000e-07  3.10797247e-07  9.32500000e-07  2.82502536e-08 
 9.52500000e-07 -4.70676803e-07  9.52500000e-07  3.21429299e-07  9.52500000e-07  2.91256322e-08 
 9.72500000e-07 -4.69872650e-07  9.72500000e-07  3.31841016e-07  9.72500000e-07  2.99813905e-08 
 9.92500000e-07 -4.69087479e-07  9.92500000e-07  3.42041370e-07  9.92500000e-07  3.08183619e-08 
 1.01250000e-06 -4.68320467e-07  1.01250000e-06  3.52038793e-07  1.01250000e-06  3.16373283e-08 
 1.03250000e-06 -4.67570843e-07  1.03250000e-06  3.61841227e-07  1.03250000e-06  3.24390243e-08 
 1.05250000e-06 -4.66837883e-07  1.05250000e-06  3.71456153e-07  1.05250000e-06  3.32241411e-08 
 1.07250000e-06 -4.66120905e-07  1.07250000e-06  3.80890631e-07  1.07250000e-06  3.39933296e-08 
 1.09250000e-06 -4.65419270e-07  1.09250000e-06  3.90151329e-07  1.09250000e-06  3.47472036e-08 
 1.11250000e-06 -4.64732373e-07  1.11250000e-06  3.99244552e-07  1.11250000e-06  3.54863426e-08 
 1.13250000e-06 -4.64059644e-07  1.13250000e-06  4.08176270e-07  1.13250000e-06  3.62112940e-08 
 1.15250000e-06 -4.63400545e-07  1.15250000e-06  4.16952137e-07  1.15250000e-06  3.69225758e-08 
 1.17250000e-06 -4.62754567e-07  1.17250000e-06  4.25577515e-07  1.17250000e-06  3.76206784e-08 
 1.19250000e-06 -4.62121229e-07  1.19250000e-06  4.34057497e-07  1.19250000e-06  3.83060666e-08 
 1.21250000e-06 -4.61500076e-07  1.21250000e-06  4.42396918e-07  1.21250000e-06  3.89791813e-08 
 1.23250000e-06 -4.60890674e-07  1.23250000e-06  4.50600378e-07  1.23250000e-06  3.96404411e-08 
 1.25250000e-06 -4.60292613e-07  1.25250000e-06  4.58672254e-07  1.25250000e-06  4.02902439e-08 
 1.27250000e-06 -4.59705504e-07  1.27250000e-06  4.66616716e-07  1.27250000e-06  4.09289680e-08 
 1.29250000e-06 -4.59128977e-07  1.29250000e-06  4.74437737e-07  1.29250000e-06  4.15569737e-08 
 1.31250000e-06 -4.58562679e-07  1.31250000e-06  4.82139110e-07  1.31250000e-06  4.21746039e-08 
 1.33250000e-06 -4.58006275e-07  1.33250000e-06  4.89724452e-07  1.33250000e-06  4.27821858e-08 
 1.35250000e-06 -4.57459445e-07  1.35250000e-06  4.97197221e-07  1.35250000e-06  4.33800314e-08 
 1.37250000e-06 -4.56921885e-07  1.37250000e-06  5.04560723e-07  1.37250000e-06  4.39684384e-08 
 1.39250000e-06 -4.56393304e-07  1.39250000e-06  5.11818118e-07  1.39250000e-06  4.45476917e-08 
 1.41250000e-06 -4.55873425e-07  1.41250000e-06  5.18972434e-07  1.41250000e-06  4.51180630e-08 
 1.43250000e-06 -4.55361982e-07  1.43250000e-06  5.26026569e-07  1.43250000e-06  4.56798128e-08 
 1.45250000e-06 -4.54858722e-07  1.45250000e-06  5.32983300e-07  1.45250000e-06  4.62331901e-08 
 1.47250000e-06 -4.54363402e-07  1.47250000e-06  5.39845293e-07  1.47250000e-06  4.67784335e-08 
 1.49250000e-06 -4.53875791e-07  1.49250000e-06  5.46615103e-07  1.49250000e-06  4.73157716e-08 
 1.51250000e-06 -4.53395666e-07  1.51250000e-06  5.53295185e-07  1.51250000e-06  4.78454237e-08 
 1.53250000e-06 -4.52922815e-07  1.53250000e-06  5.59887896e-07  1.53250000e-06  4.83676002e-08 
 1.55250000e-06 -4.52457032e-07  1.55250000e-06  5.66395502e-07  1.55250000e-06  4.88825030e-08 
 1.57250000e-06 -4.51998122e-07  1.57250000e-06  5.72820182e-07  1.57250000e-06  4.93903260e-08 
 1.59250000e-06 -4.51545897e-07  1.59250000e-06  5.79164031e-07  1.59250000e-06  4.98912558e-08 
 1.61250000e-06 -4.51100176e-07  1.61250000e-06  5.85429068e-07  1.61250000e-06  5.03854714e-08 
 1.63250000e-06 -4.50660786e-07  1.63250000e-06  5.91617236e-07  1.63250000e-06  5.08731454e-08 
 1.65250000e-06 -4.50227559e-07  1.65250000e-06  5.97730406e-07  1.65250000e-06  5.13544436e-08 
 1.67250000e-06 -4.49800335e-07  1.67250000e-06  6.03770383e-07  1.67250000e-06  5.18295258e-08 
 1.69250000e-06 -4.49378960e-07  1.69250000e-06  6.09738908e-07  1.69250000e-06  5.22985459e-08 
 1.71250000e-06 -4.48963285e-07  1.71250000e-06  6.15637659e-07  1.71250000e-06  5.27616522e-08 
 1.73250000e-06 -4.48553166e-07  1.73250000e-06  6.21468257e-07  1.73250000e-06  5.32189878e-08 
 1.75250000e-06 -4.48148466e-07  1.75250000e-06  6.27232265e-07  1.75250000e-06  5.36706905e-08 
 1.77250000e-06 -4.47749051e-07  1.77250000e-06  6.32931196e-07  1.77250000e-06  5.41168936e-08 
 1.79250000e-06 -4.47354793e-07  1.79250000e-06  6.38566509e-07  1.79250000e-06  5.45577255e-08 
 1.81250000e-06 -4.46965569e-07  1.81250000e-06  6.44139617e-07  1.81250000e-06  5.49933103e-08 
 1.83250000e-06 -4.46581258e-07  1.83250000e-06  6.49651885e-07  1.83250000e-06  5.54237680e-08 
 1.85250000e-06 -4.46201746e-07  1.85250000e-06  6.55104634e-07  1.85250000e-06  5.58492143e-08 
