 0.00000000e+00 -6.70325778e-04  0.00000000e+00  6.73722769e-01  0.00000000e+00  5.83157150e-01  0.00000000e+00  2.30899367e-01  0.00000000e+00  5.31047867e-02  0.00000000e+00  0.00000000e+00  0.00000000e+00  6.98582545e-01 
 5.00000000e-10 -6.70325778e-04  5.00000000e-10  6.73722769e-01  5.00000000e-10  5.83157150e-01  5.00000000e-10  2.30899367e-01  5.00000000e-10  5.31047867e-02  5.00000000e-10  0.00000000e+00  5.00000000e-10  6.98582545e-01 
 1.00000000e-09 -6.70325778e-04  1.00000000e-09  6.73722769e-01  1.00000000e-09  5.83157150e-01  1.00000000e-09  2.30899367e-01  1.00000000e-09  5.31047867e-02  1.00000000e-09  0.00000000e+00  1.00000000e-09  6.98582545e-01 
 2.00000000e-09 -6.70325778e-04  2.00000000e-09  6.73722769e-01  2.00000000e-09  5.83157150e-01  2.00000000e-09  2.30899367e-01  2.00000000e-09  5.31047867e-02  2.00000000e-09  0.00000000e+00  2.00000000e-09  6.98582545e-01 
 4.00000000e-09 -6.70325778e-04  4.00000000e-09  6.73722769e-01  4.00000000e-09  5.83157150e-01  4.00000000e-09  2.30899367e-01  4.00000000e-09  5.31047867e-02  4.00000000e-09  0.00000000e+00  4.00000000e-09  6.98582545e-01 
 8.00000000e-09 -6.70325778e-04  8.00000000e-09  6.73722769e-01  8.00000000e-09  5.83157150e-01  8.00000000e-09  2.30899367e-01  8.00000000e-09  5.31047867e-02  8.00000000e-09  0.00000000e+00  8.00000000e-09  6.98582545e-01 
 1.60000000e-08 -6.70325778e-04  1.60000000e-08  6.73722769e-01  1.60000000e-08  5.83157150e-01  1.60000000e-08  2.30899367e-01  1.60000000e-08  5.31047867e-02  1.60000000e-08  0.00000000e+00  1.60000000e-08  6.98582545e-01 
 3.20000000e-08 -6.70325778e-04  3.20000000e-08  6.73722769e-01  3.20000000e-08  5.83157150e-01  3.20000000e-08  2.30899367e-01  3.20000000e-08  5.31047867e-02  3.20000000e-08  0.00000000e+00  3.20000000e-08  6.98582545e-01 
 6.40000000e-08 -6.70325778e-04  6.40000000e-08  6.73722769e-01  6.40000000e-08  5.83157150e-01  6.40000000e-08  2.30899367e-01  6.40000000e-08  5.31047867e-02  6.40000000e-08  0.00000000e+00  6.40000000e-08  6.98582545e-01 
 1.14000000e-07 -6.70325778e-04  1.14000000e-07  6.73722769e-01  1.14000000e-07  5.83157150e-01  1.14000000e-07  2.30899367e-01  1.14000000e-07  5.31047867e-02  1.14000000e-07  0.00000000e+00  1.14000000e-07  6.98582545e-01 
 1.64000000e-07 -6.70325778e-04  1.64000000e-07  6.73722769e-01  1.64000000e-07  5.83157150e-01  1.64000000e-07  2.30899367e-01  1.64000000e-07  5.31047867e-02  1.64000000e-07  0.00000000e+00  1.64000000e-07  6.98582545e-01 
 2.14000000e-07 -6.70325778e-04  2.14000000e-07  6.73722769e-01  2.14000000e-07  5.83157150e-01  2.14000000e-07  2.30899367e-01  2.14000000e-07  5.31047867e-02  2.14000000e-07  0.00000000e+00  2.14000000e-07  6.98582545e-01 
 2.64000000e-07 -6.70325778e-04  2.64000000e-07  6.73722769e-01  2.64000000e-07  5.83157150e-01  2.64000000e-07  2.30899367e-01  2.64000000e-07  5.31047867e-02  2.64000000e-07  0.00000000e+00  2.64000000e-07  6.98582545e-01 
 3.14000000e-07 -6.70325778e-04  3.14000000e-07  6.73722769e-01  3.14000000e-07  5.83157150e-01  3.14000000e-07  2.30899367e-01  3.14000000e-07  5.31047867e-02  3.14000000e-07  0.00000000e+00  3.14000000e-07  6.98582545e-01 
 3.64000000e-07 -6.70325778e-04  3.64000000e-07  6.73722769e-01  3.64000000e-07  5.83157150e-01  3.64000000e-07  2.30899367e-01  3.64000000e-07  5.31047867e-02  3.64000000e-07  0.00000000e+00  3.64000000e-07  6.98582545e-01 
 4.14000000e-07 -6.70325778e-04  4.14000000e-07  6.73722769e-01  4.14000000e-07  5.83157150e-01  4.14000000e-07  2.30899367e-01  4.14000000e-07  5.31047867e-02  4.14000000e-07  0.00000000e+00  4.14000000e-07  6.98582545e-01 
 4.64000000e-07 -6.70325778e-04  4.64000000e-07  6.73722769e-01  4.64000000e-07  5.83157150e-01  4.64000000e-07  2.30899367e-01  4.64000000e-07  5.31047867e-02  4.64000000e-07  0.00000000e+00  4.64000000e-07  6.98582545e-01 
 5.14000000e-07 -6.70325778e-04  5.14000000e-07  6.73722769e-01  5.14000000e-07  5.83157150e-01  5.14000000e-07  2.30899367e-01  5.14000000e-07  5.31047867e-02  5.14000000e-07  0.00000000e+00  5.14000000e-07  6.98582545e-01 
 5.64000000e-07 -6.70325778e-04  5.64000000e-07  6.73722769e-01  5.64000000e-07  5.83157150e-01  5.64000000e-07  2.30899367e-01  5.64000000e-07  5.31047867e-02  5.64000000e-07  0.00000000e+00  5.64000000e-07  6.98582545e-01 
 6.14000000e-07 -6.70325778e-04  6.14000000e-07  6.73722769e-01  6.14000000e-07  5.83157150e-01  6.14000000e-07  2.30899367e-01  6.14000000e-07  5.31047867e-02  6.14000000e-07  0.00000000e+00  6.14000000e-07  6.98582545e-01 
 6.64000000e-07 -6.70325778e-04  6.64000000e-07  6.73722769e-01  6.64000000e-07  5.83157150e-01  6.64000000e-07  2.30899367e-01  6.64000000e-07  5.31047867e-02  6.64000000e-07  0.00000000e+00  6.64000000e-07  6.98582545e-01 
 7.14000000e-07 -6.70325778e-04  7.14000000e-07  6.73722769e-01  7.14000000e-07  5.83157150e-01  7.14000000e-07  2.30899367e-01  7.14000000e-07  5.31047867e-02  7.14000000e-07  0.00000000e+00  7.14000000e-07  6.98582545e-01 
 7.64000000e-07 -6.70325778e-04  7.64000000e-07  6.73722769e-01  7.64000000e-07  5.83157150e-01  7.64000000e-07  2.30899367e-01  7.64000000e-07  5.31047867e-02  7.64000000e-07  0.00000000e+00  7.64000000e-07  6.98582545e-01 
 8.14000000e-07 -6.70325778e-04  8.14000000e-07  6.73722769e-01  8.14000000e-07  5.83157150e-01  8.14000000e-07  2.30899367e-01  8.14000000e-07  5.31047867e-02  8.14000000e-07  0.00000000e+00  8.14000000e-07  6.98582545e-01 
 8.64000000e-07 -6.70325778e-04  8.64000000e-07  6.73722769e-01  8.64000000e-07  5.83157150e-01  8.64000000e-07  2.30899367e-01  8.64000000e-07  5.31047867e-02  8.64000000e-07  0.00000000e+00  8.64000000e-07  6.98582545e-01 
 9.14000000e-07 -6.70325778e-04  9.14000000e-07  6.73722769e-01  9.14000000e-07  5.83157150e-01  9.14000000e-07  2.30899367e-01  9.14000000e-07  5.31047867e-02  9.14000000e-07  0.00000000e+00  9.14000000e-07  6.98582545e-01 
 9.57000000e-07 -6.70325778e-04  9.57000000e-07  6.73722769e-01  9.57000000e-07  5.83157150e-01  9.57000000e-07  2.30899367e-01  9.57000000e-07  5.31047867e-02  9.57000000e-07  0.00000000e+00  9.57000000e-07  6.98582545e-01 
 1.00000000e-06 -6.70325778e-04  1.00000000e-06  6.73722769e-01  1.00000000e-06  5.83157150e-01  1.00000000e-06  2.30899367e-01  1.00000000e-06  5.31047867e-02  1.00000000e-06  0.00000000e+00  1.00000000e-06  6.98582545e-01 
 1.00500000e-06 -6.31639463e-04  1.00500000e-06  6.76333716e-01  1.00500000e-06  5.85063123e-01  1.00500000e-06  2.33327610e-01  1.00500000e-06  5.49458739e-02  1.00500000e-06  5.50000000e-04  1.00500000e-06  6.99054601e-01 
 1.01500000e-06 -5.58645321e-04  1.01500000e-06  6.81868431e-01  1.01500000e-06  5.89260648e-01  1.01500000e-06  2.38195774e-01  1.01500000e-06  5.89247240e-02  1.01500000e-06  1.65000000e-03  1.01500000e-06  6.99400023e-01 
 1.03500000e-06 -4.30147079e-04  1.03500000e-06  6.93016260e-01  1.03500000e-06  5.98626523e-01  1.03500000e-06  2.46230927e-01  1.03500000e-06  6.73287495e-02  1.03500000e-06  3.85000000e-03  1.03500000e-06  6.99292825e-01 
