system               model                testN     trajN  tdiv/T   oob       lam   clip   par
hill_n1              elm_ideal_c8        0.0120    0.0147   1.000  0.00  1.00e-12  0.000     9 [    0s]
hill_n1              elm_ideal_c18       0.0081    0.0092   1.000  0.00  1.00e-12  0.000    19 [    0s]
hill_n1              elm_ideal_c48       0.0080    0.0093   1.000  0.00  1.00e-12  0.000    49 [    1s]
hill_n1              elm_ideal_c192      0.0073    0.0085   1.000  0.00  1.00e-12  0.000   193 [    1s]
hill_n1              elm_pedestal_c8     0.0121    0.0150   1.000  0.00  1.00e-12  0.000     9 [    1s]
hill_n1              elm_pedestal_c18    0.0108    0.0129   1.000  0.00  1.00e-12  0.000    19 [    1s]
hill_n1              elm_pedestal_c48    0.0105    0.0126   1.000  0.00  1.00e-12  0.000    49 [    2s]
hill_n1              elm_pedestal_c192    0.0098    0.0116   1.000  0.00  1.00e-12  0.000   193 [    2s]
hill_n1              elm_silicon_c8      0.0121    0.0152   1.000  0.00  1.00e-12  0.000     9 [    2s]
hill_n1              elm_silicon_c18     0.0109    0.0130   1.000  0.00  1.00e-12  0.000    19 [    2s]
hill_n1              elm_silicon_c48     0.0104    0.0124   1.000  0.00  1.00e-12  0.000    49 [    3s]
hill_n1              elm_silicon_c192    0.0098    0.0115   1.000  0.00  1.00e-12  0.000   193 [    3s]
hill_n1              elm0_ideal_c8       0.0234    0.0308   0.970  0.00  1.78e-07  0.000     5 [    3s]
hill_n1              elm0_ideal_c18      0.0137    0.0163   1.000  0.00  5.62e-11  0.000     7 [    4s]
hill_n1              elm0_pedestal_c8    0.0279    0.0336   0.955  0.00  3.16e-08  0.000     5 [    4s]
hill_n1              elm0_pedestal_c18    0.0174    0.0199   1.000  0.00  3.16e-12  0.000     7 [    4s]
hill_n1              elmtanh_f18         0.0032    0.0040   1.000  0.00  1.00e-12  0.000    19 [    4s]
hill_n1              elmtanh_f192        0.0013    0.0015   1.000  0.00  1.00e-12  0.000   193 [    4s]
hill_n2              elm_ideal_c8        0.0024    0.0028   1.000  0.00  1.00e-12  0.000     9 [    4s]
hill_n2              elm_ideal_c18       0.0012    0.0014   1.000  0.00  1.00e-12  0.000    19 [    5s]
hill_n2              elm_ideal_c48       0.0010    0.0010   1.000  0.00  1.00e-12  0.000    49 [    5s]
hill_n2              elm_ideal_c192      0.0007    0.0005   1.000  0.00  1.00e-12  0.000   193 [    5s]
hill_n2              elm_pedestal_c8     0.0045    0.0059   1.000  0.00  1.00e-12  0.000     9 [    5s]
hill_n2              elm_pedestal_c18    0.0037    0.0049   1.000  0.00  1.00e-12  0.000    19 [    6s]
hill_n2              elm_pedestal_c48    0.0027    0.0036   1.000  0.00  1.00e-12  0.000    49 [    6s]
hill_n2              elm_pedestal_c192    0.0019    0.0023   1.000  0.00  1.00e-12  0.000   193 [    6s]
hill_n2              elm_silicon_c8      0.0043    0.0057   1.000  0.00  1.00e-12  0.000     9 [    6s]
hill_n2              elm_silicon_c18     0.0038    0.0051   1.000  0.00  1.00e-12  0.000    19 [    7s]
hill_n2              elm_silicon_c48     0.0027    0.0036   1.000  0.00  1.00e-12  0.000    49 [    7s]
hill_n2              elm_silicon_c192    0.0017    0.0021   1.000  0.00  1.00e-12  0.000   193 [    7s]
hill_n2              elm0_ideal_c8       0.0204    0.0196   1.000  0.00  3.16e-10  0.000     5 [    8s]
hill_n2              elm0_ideal_c18      0.0100    0.0106   1.000  0.00  1.78e-09  0.000     7 [    8s]
hill_n2              elm0_pedestal_c8    0.0202    0.0284   1.000  0.00  1.78e-08  0.000     5 [    8s]
hill_n2              elm0_pedestal_c18    0.0099    0.0078   1.000  0.00  1.00e-12  0.000     7 [    8s]
hill_n2              elmtanh_f18         0.0002    0.0001   1.000  0.00  1.00e-12  0.000    19 [    8s]
hill_n2              elmtanh_f192        0.0001    0.0000   1.000  0.00  1.00e-12  0.000   193 [    8s]
hill_n4              elm_ideal_c8        0.0080    0.0076   1.000  0.00  1.00e-12  0.000     9 [    9s]
hill_n4              elm_ideal_c18       0.0045    0.0044   1.000  0.00  1.00e-12  0.000    19 [    9s]
hill_n4              elm_ideal_c48       0.0040    0.0060   1.000  0.00  1.00e-12  0.000    49 [    9s]
hill_n4              elm_ideal_c192      0.0032    0.0051   1.000  0.00  1.00e-12  0.000   193 [    9s]
hill_n4              elm_pedestal_c8     0.0136    0.0119   1.000  0.00  1.00e-12  0.000     9 [   10s]
hill_n4              elm_pedestal_c18    0.0095    0.0087   1.000  0.00  1.00e-12  0.000    19 [   10s]
hill_n4              elm_pedestal_c48    0.0056    0.0050   1.000  0.00  1.00e-12  0.000    49 [   10s]
hill_n4              elm_pedestal_c192    0.0046    0.0046   1.000  0.00  1.00e-12  0.000   193 [   10s]
hill_n4              elm_silicon_c8      0.0140    0.0122   1.000  0.00  1.00e-12  0.000     9 [   11s]
hill_n4              elm_silicon_c18     0.0094    0.0086   1.000  0.00  1.00e-12  0.000    19 [   11s]
hill_n4              elm_silicon_c48     0.0057    0.0049   1.000  0.00  1.00e-12  0.000    49 [   11s]
hill_n4              elm_silicon_c192    0.0044    0.0046   1.000  0.00  1.00e-12  0.000   193 [   12s]
hill_n4              elm0_ideal_c8       0.0482    0.0395   1.000  0.00  5.62e-10  0.000     5 [   12s]
hill_n4              elm0_ideal_c18      0.0258    0.0214   1.000  0.00  1.00e-09  0.000     7 [   12s]
hill_n4              elm0_pedestal_c8    0.0408    0.0494   1.000  0.00  1.78e-08  0.000     5 [   12s]
